Candidate evidence id,Candidate evidence left entity,Candidate evidence right entity,Relation present
1792,"designacion 5 (468, 469)","dedicaci6n simple (490, 492)",False
1793,"designacion 6 (481, 482)","dedicaci6n simple (490, 492)",True
1794,"designacion 7 (519, 520)","dedicaci6n simple (544, 546)",False
1795,"designacion 8 (534, 535)","dedicaci6n simple (544, 546)",True
1796,"designacion 9 (656, 657)","dedicaci6n simple (681, 683)",True
1766,"designacion 14 (104, 105)","DS (32, 33)",True
1767,"designacion 14 (104, 105)","dedicaci6n simple (146, 148)",True
1768,"designacion 14 (104, 105)","DS (170, 171)",True
1769,"designacion 14 (104, 105)","DS (182, 183)",False
1770,"designacion 15 (175, 176)","DS (32, 33)",False
1771,"designacion 15 (175, 176)","dedicaci6n simple (146, 148)",True
1772,"designacion 15 (175, 176)","DS (170, 171)",True
1773,"designacion 15 (175, 176)","DS (182, 183)",True
1774,"designacion 16 (278, 279)","dedicaci6n simple (305, 307)",True
1775,"designacion 17 (407, 408)","DS (414, 415)",True
1776,"designacion 18 (445, 446)","DS (463, 464)",True
1777,"designacion 19 (494, 495)","DS (463, 464)",True
1778,"designacion 11 (221, 222)","dedicaci6n simple (227, 229)",True
1779,"designacion 12 (271, 272)","dedicaci6n simple (296, 298)",True
1780,"designacion 0 (15, 16)","DS (46, 47)",True
1781,"designacion 0 (15, 16)","DS (72, 73)",True
1782,"designacion 0 (15, 16)","DS (97, 98)",True
1783,"designacion 0 (15, 16)","DS (122, 123)",True
1784,"designacion 0 (15, 16)","DS (152, 153)",True
1785,"designacion 0 (15, 16)","dedicaci6n simple (184, 186)",True
1786,"designacion 0 (15, 16)","DS (220, 221)",True
1787,"designacion 0 (15, 16)","DS (231, 232)",True
1788,"designacion 1 (306, 307)","dedicaci6n simple (330, 332)",False
1789,"designacion 2 (321, 322)","dedicaci6n simple (330, 332)",True
1790,"designacion 3 (394, 395)","dedicaci6n simple (436, 438)",False
1791,"designacion 4 (427, 428)","dedicaci6n simple (436, 438)",True
